value,category
Software Developer,Technology
Senior Software Developer,Technology
Data Scientist,Technology
Data Analyst,Business
Business Analyst,Business
Project Manager,Management
Product Manager,Management
Marketing Manager,Management
Sales Manager,Management
HR Manager,Management
Financial Analyst,Finance
Accountant,Finance
Auditor,Finance
Tax Specialist,Finance
Investment Analyst,Finance
Graphic Designer,Creative
UX Designer,Creative
UI Designer,Creative
Content Writer,Creative
Copywriter,Creative
Video Editor,Creative
Photographer,Creative
Web Designer,Creative
Art Director,Creative
Creative Director,Creative
Teacher,Education
Professor,Education
Trainer,Education
Instructional Designer,Education
Education Coordinator,Education
Nurse,Healthcare
Doctor,Healthcare
Physician Assistant,Healthcare
Medical Technician,Healthcare
Pharmacist,Healthcare
Physical Therapist,Healthcare
Dentist,Healthcare
Veterinarian,Healthcare
Psychologist,Healthcare
Therapist,Healthcare
Lawyer,Legal
Legal Assistant,Legal
Paralegal,Legal
Legal Counsel,Legal
Contract Specialist,Legal
Compliance Officer,Legal
Engineer,Engineering
Mechanical Engineer,Engineering
Electrical Engineer,Engineering
Civil Engineer,Engineering
Chemical Engineer,Engineering
Aerospace Engineer,Engineering
Environmental Engineer,Engineering
Quality Engineer,Engineering
Manufacturing Engineer,Engineering
Industrial Engineer,Engineering
Sales Representative,Sales
Account Manager,Sales
Business Development Manager,Sales
Sales Engineer,Sales
Inside Sales Representative,Sales
Territory Manager,Sales
Customer Success Manager,Customer Service
Customer Service Representative,Customer Service
Technical Support Specialist,Customer Service
Help Desk Technician,Customer Service
Call Center Agent,Customer Service
Operations Manager,Operations
Supply Chain Manager,Operations
Logistics Coordinator,Operations
Warehouse Manager,Operations
Inventory Manager,Operations
Production Manager,Operations
Quality Manager,Operations
Facilities Manager,Operations
Research Scientist,Research
Research Analyst,Research
Laboratory Technician,Research
Research Assistant,Research
Clinical Research Coordinator,Research
Consultant,Consulting
Management Consultant,Consulting
IT Consultant,Consulting
Strategy Consultant,Consulting
Financial Consultant,Consulting
HR Consultant,Consulting
Marketing Consultant,Consulting
Real Estate Agent,Real Estate
Property Manager,Real Estate
Real Estate Broker,Real Estate
Leasing Agent,Real Estate
Real Estate Analyst,Real Estate
Chef,Hospitality
Restaurant Manager,Hospitality
Hotel Manager,Hospitality
Event Coordinator,Hospitality
Catering Manager,Hospitality
Bartender,Hospitality
Server,Hospitality
Construction Manager,Construction
Architect,Construction
Construction Worker,Construction
Electrician,Construction
Plumber,Construction
Carpenter,Construction
HVAC Technician,Construction
Retail Manager,Retail
Store Manager,Retail
Retail Associate,Retail
Merchandiser,Retail
Buyer,Retail
Visual Merchandiser,Retail
Police Officer,Public Service
Firefighter,Public Service
Social Worker,Public Service
Case Manager,Public Service
Community Outreach Coordinator,Public Service
Administrative Assistant,Administration
Office Manager,Administration
Executive Assistant,Administration
Receptionist,Administration
Data Entry Clerk,Administration
Office Coordinator,Administration
Secretary,Administration
Truck Driver,Transportation
Delivery Driver,Transportation
Pilot,Transportation
Flight Attendant,Transportation
Train Conductor,Transportation
Bus Driver,Transportation
Dispatcher,Transportation
Journalist,Media
Editor,Media
Producer,Media
Radio Host,Media
TV Host,Media
Social Media Manager,Media
Public Relations Manager,Media
Communications Specialist,Media
Farmer,Agriculture
Agricultural Manager,Agriculture
Farm Worker,Agriculture
Agricultural Inspector,Agriculture
Soil Scientist,Agriculture